state,district,member,party,start,end
Illinois,9,"Schakowsky, Jan", D,01/03/15,01/03/17
Illinois,10,"Dold, Bob", R,01/03/15,01/03/17
Illinois,11,"Foster, Bill", D,01/03/15,01/03/17
Illinois,12,"Bost, Mike", R,01/03/15,01/03/17
Illinois,13,"Davis, Rodney L.", R,01/03/15,01/03/17
Illinois,14,"Hultgren, Randy", R,01/03/15,01/03/17
Illinois,15,"Shimkus, John", R,01/03/15,01/03/17
Illinois,16,"Kinzinger, Adam", R,01/03/15,01/03/17
Illinois,17,"Bustos, Cheri", D,01/03/15,01/03/17
Illinois,18,"Schock, Aaron", R,01/03/15,03/31/15
Illinois,18,"LaHood, Darin", R,09/10/15,01/03/17
Indiana,1,"Visclosky, Pete", D,01/03/15,01/03/17
Indiana,2,"Walorski, Jackie", R,01/03/15,01/03/17
Indiana,3,"Stutzman, Marlin", R,01/03/15,01/03/17
Indiana,4,"Rokita, Todd", R,01/03/15,01/03/17
Indiana,5,"Brooks, Susan", R,01/03/15,01/03/17
Indiana,6,"Messer, Luke", R,01/03/15,01/03/17
Indiana,7,"Carson, André", D,01/03/15,01/03/17
Indiana,8,"Bucshon, Larry", R,01/03/15,01/03/17
Indiana,9,"Young, Todd", R,01/03/15,01/03/17
Iowa,1,"Blum, Rod", R,01/03/15,01/03/17
Iowa,2,"Loebsack, David", D,01/03/15,01/03/17
Iowa,3,"Young, David", R,01/03/15,01/03/17
Iowa,4,"King, Steve", R,01/03/15,01/03/17
Kansas,1,"Huelskamp, Tim", R,01/03/15,01/03/17
Kansas,2,"Jenkins, Lynn", R,01/03/15,01/03/17
Kansas,3,"Yoder, Kevin", R,01/03/15,01/03/17
Kansas,4,"Pompeo, Mike", R,01/03/15,01/03/17
Kentucky,1,"Whitfield, Ed", R,01/03/15,09/06/16
Kentucky,1,"Comer, James", R,11/08/16,01/03/17
Kentucky,2,"Guthrie, Brett", R,01/03/15,01/03/17
Kentucky,3,"Yarmuth, John", D,01/03/15,01/03/17
Kentucky,4,"Massie, Thomas", R,01/03/15,01/03/17
Kentucky,5,"Rogers, Hal", R,01/03/15,01/03/17
Kentucky,6,"Barr, Andy", R,01/03/15,01/03/17
Louisiana,1,"Scalise, Steve", R,01/03/15,01/03/17
Louisiana,2,"Richmond, Cedric", D,01/03/15,01/03/17
Louisiana,3,"Boustany, Charles", R,01/03/15,01/03/17
Louisiana,4,"Fleming, John", R,01/03/15,01/03/17
Louisiana,5,"Abraham, Ralph", R,01/03/15,01/03/17
Louisiana,6,"Graves, Garret", R,01/03/15,01/03/17
Maine,1,"Pingree, Chellie", D,01/03/15,01/03/17
Maine,2,"Poliquin, Bruce", R,01/03/15,01/03/17
Maryland,1,"Harris, Andy", R,01/03/15,01/03/17
Maryland,2,"Ruppersberger, Dutch", D,01/03/15,01/03/17
Maryland,3,"Sarbanes, John", D,01/03/15,01/03/17
Maryland,4,"Edwards, Donna", D,01/03/15,01/03/17
Maryland,5,"Hoyer, Steny", D,01/03/15,01/03/17
Maryland,6,"Delaney, John", D,01/03/15,01/03/17
Maryland,7,"Cummings, Elijah", D,01/03/15,01/03/17
Maryland,8,"Van, Chris", D,01/03/15,01/03/17
Massachusetts,1,"Neal, Richard", D,01/03/15,01/03/17
Massachusetts,2,"McGovern, Jim", D,01/03/15,01/03/17
Massachusetts,3,"Tsongas, Niki", D,01/03/15,01/03/17
Massachusetts,4,"Kennedy, Joseph P., III", D,01/03/15,01/03/17
Massachusetts,5,"Clark, Katherine", D,01/03/15,01/03/17
Massachusetts,6,"Moulton, Seth", D,01/03/15,01/03/17
Massachusetts,7,"Capuano, Mike", D,01/03/15,01/03/17
Massachusetts,8,"Lynch, Stephen", D,01/03/15,01/03/17
Massachusetts,9,"Keating, William", D,01/03/15,01/03/17
Michigan,1,"Benishek, Dan", R,01/03/15,01/03/17
Michigan,2,"Huizenga, Bill", R,01/03/15,01/03/17
Michigan,3,"Amash, Justin", R,01/03/15,01/03/17
Michigan,4,"Moolenaar, John", R,01/03/15,01/03/17
Michigan,5,"Kildee, Dan", D,01/03/15,01/03/17
Michigan,6,"Upton, Fred", R,01/03/15,01/03/17
Michigan,7,"Walberg, Tim", R,01/03/15,01/03/17
Michigan,8,"Bishop, Mike", R,01/03/15,01/03/17
Michigan,9,"Levin, Sander", D,01/03/15,01/03/17
Michigan,10,"Miller, Candice", R,01/03/15,12/31/16
Michigan,11,"Trott, Dave", R,01/03/15,01/03/17
Michigan,12,"Dingell, Debbie", D,01/03/15,01/03/17
Michigan,13,"Conyers, John", D,01/03/15,01/03/17
Michigan,14,"Lawrence, Brenda", D,01/03/15,01/03/17
Minnesota,1,"Walz, Tim", D,01/03/15,01/03/17
Minnesota,2,"Kline, John", R,01/03/15,01/03/17
Minnesota,3,"Paulsen, Erik", R,01/03/15,01/03/17
Minnesota,4,"McCollum, Betty", D,01/03/15,01/03/17
Minnesota,5,"Ellison, Keith", D,01/03/15,01/03/17
Minnesota,6,"Emmer, Tom", R,01/03/15,01/03/17
Minnesota,7,"Peterson, Collin", D,01/03/15,01/03/17
Minnesota,8,"Nolan, Rick", D,01/03/15,01/03/17
Mississippi,1,"Nunnelee, Alan", R,01/03/15,02/06/15
Mississippi,1,"Kelly, Trent", R,06/02/15,01/03/17
Mississippi,2,"Thompson, Bennie", D,01/03/15,01/03/17
Mississippi,3,"Harper, Gregg", R,01/03/15,01/03/17
Mississippi,4,"Palazzo, Steven", R,01/03/15,01/03/17
Missouri,1,"Clay, Lacy", D,01/03/15,01/03/17
Missouri,2,"Wagner, Ann", R,01/03/15,01/03/17
Missouri,3,"Luetkemeyer, Blaine", R,01/03/15,01/03/17
Missouri,4,"Hartzler, Vicky", R,01/03/15,01/03/17
Missouri,5,"Cleaver, Emanuel", D,01/03/15,01/03/17
Missouri,6,"Graves, Sam", R,01/03/15,01/03/17
Missouri,7,"Long, Billy", R,01/03/15,01/03/17
Missouri,8,"Smith, Jason t.", R,01/03/15,01/03/17
Montana,1,"Zinke, Ryan", R,01/03/15,01/03/17
