Downloaded on,05/01/2020,14:28:06 EDT,,,,,,,,,,,
Search URL,https://www.congress.gov/advanced-search/legislation?congresses%5B0%5D=116&congresses%5B1%5D=115&congresses%5B2%5D=114&congresses%5B3%5D=113&legislationNumbers=&restrictionType=includeBillText&restrictionFields%5B0%5D=allBillTitles&restrictionFields%5B1%5D=summary&summaryField=billSummary&enterTerms=&wordVariants=true&legislationTypes%5B0%5D=hr&public=true&private=true&chamber=all&actionTerms=&legislativeActionWordVariants=true&dateOfActionOperator=equal&dateOfActionStartDate=&dateOfActionEndDate=&dateOfActionIsOptions=yesterday&dateOfActionToggle=multi&legislativeAction=Any&sponsorState=One&member=&sponsorTypes%5B0%5D=sponsor&sponsorTypes%5B1%5D=sponsor&sponsorTypeBool=OR&committeeActivity%5B0%5D=0&committeeActivity%5B1%5D=3&committeeActivity%5B2%5D=11&committeeActivity%5B3%5D=12&committeeActivity%5B4%5D=4&committeeActivity%5B5%5D=2&committeeActivity%5B6%5D=5&committeeActivity%5B7%5D=9&satellite=%7B%22Actions%22%3A%7B%22operator%22%3A%22OR%22%2C%22actions%22%3A%7B%2214%22%3A%22House+committee%5C%2Fsubcommittee+markups%22%2C%2234%22%3A%22House+amendment+actions%22%2C%2235%22%3A%22House+amendment+offered%5C%2Freported+by%22%7D%7D%2C%22Subject+-+Policy+Area%22%3A%7B%22policyAreas%22%3A%5B%5D%7D%2C%22Legislative+Subject+Terms%22%3A%7B%22operator%22%3A%22OR%22%2C%22subjects%22%3A%5B%22Military+assistance%2C+sales%2C+and+agreements%22%2C%22Military+civil+functions%22%2C%22Military+command+and+structure%22%2C%22Military+education+and+training%22%2C%22Military+facilities+and+property%22%2C%22Military+law%22%2C%22Military+medicine%22%2C%22Military+operations+and+strategy%22%2C%22Military+personnel+and+dependents%22%2C%22Military+procurement%2C+research%2C+weapons+development%22%2C%22Military+readiness%22%5D%7D%7D&search=&submitted=Submitted&searchResultViewType=expanded&KWICView=false,,,,,,,,,,,,
,,,,,,,,,,,,,
Legislation Number,URL,Congress,Amends Bill,Title,Sponsor,Date of Introduction,Date Offered,Date Submitted,Date Proposed,Number of Cosponsors,Committees,Latest Action Date,Latest Action
H.R. 2819,https://www.congress.gov/bill/116th-congress/house-bill/2819,116th Congress (2019-2020),,Gold Star Mothers Families National Monument Extension Act,"Rep. Kim, Andy [D-NJ-3]",05/17/2019,,,,19,House - Natural Resources | Senate - Energy and Natural Resources,03/02/2020,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.
H.R. 2795,https://www.congress.gov/bill/116th-congress/house-bill/2795,116th Congress (2019-2020),,Wildlife Corridors Conservation Act of 2019,"Rep. Beyer, Donald S., Jr. [D-VA-8]",05/16/2019,,,,13,"House - Natural Resources, Agriculture, Armed Services, Transportation and Infrastructure",01/29/2020,"Subcommittee on Water, Oceans, and Wildlife Discharged."
H.R. 2626,https://www.congress.gov/bill/116th-congress/house-bill/2626,116th Congress (2019-2020),,PFAS Accountability Act of 2019,"Rep. Upton, Fred [R-MI-6]",05/09/2019,,,,4,"House - Energy and Commerce, Transportation and Infrastructure, Natural Resources",09/26/2019,Forwarded by Subcommittee to Full Committee by Voice Vote .
H.R. 2500,https://www.congress.gov/bill/116th-congress/house-bill/2500,116th Congress (2019-2020),,National Defense Authorization Act for Fiscal Year 2020,"Rep. Smith, Adam [D-WA-9]",05/02/2019,,,,1,House - Armed Services,09/10/2019,Received in the Senate.
H.R. 2444,https://www.congress.gov/bill/116th-congress/house-bill/2444,116th Congress (2019-2020),,Eastern European Security Act,"Rep. McCaul, Michael T. [R-TX-10]",05/01/2019,,,,6,House - Foreign Affairs | Senate - Foreign Relations,03/10/2020,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 2406,https://www.congress.gov/bill/116th-congress/house-bill/2406,116th Congress (2019-2020),,National Oceanic and Atmospheric Administration Commissioned Officer Corps Amendments Act of 2019,"Rep. Case, Ed [D-HI-1]",04/30/2019,,,,11,"House - Natural Resources, Oversight and Reform, Armed Services, Veterans' Affairs",09/18/2019,Ordered to be Reported (Amended) by the Yeas and Nays: 21 - 14.
H.R. 2327,https://www.congress.gov/bill/116th-congress/house-bill/2327,116th Congress (2019-2020),,Burma Political Prisoners Assistance Act,"Rep. Levin, Andy [D-MI-9]",04/15/2019,,,,22,House - Foreign Affairs | Senate - Foreign Relations,09/25/2019,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 2326,https://www.congress.gov/bill/116th-congress/house-bill/2326,116th Congress (2019-2020),,"Navy SEAL Chief Petty Officer William ""Bill"" Mulder (Ret.) Transition Improvement Act of 2019","Rep. Levin, Mike [D-CA-49]",04/15/2019,,,,11,"House - Veterans' Affairs, Armed Services, Ways and Means",05/22/2019,Received in the Senate.
H.R. 2227,https://www.congress.gov/bill/116th-congress/house-bill/2227,116th Congress (2019-2020),,Gold Star Spouses and Spouses of Injured Servicemembers Leasing Relief Expansion Act of 2019,"Rep. Bustos, Cheri [D-IL-17]",04/10/2019,,,,11,House - Veterans' Affairs | Senate - Veterans' Affairs,02/27/2020,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.
H.R. 2221,https://www.congress.gov/bill/116th-congress/house-bill/2221,116th Congress (2019-2020),,Fry Scholarship Improvement Act of 2019,"Rep. Bilirakis, Gus M. [R-FL-12]",04/10/2019,,,,2,House - Veterans' Affairs,05/01/2019,Forwarded by Subcommittee to Full Committee by Voice Vote .
