Downloaded on,05/01/2020,14:28:06 EDT,,,,,,,,,,,
Search URL,https://www.congress.gov/advanced-search/legislation?congresses%5B0%5D=116&congresses%5B1%5D=115&congresses%5B2%5D=114&congresses%5B3%5D=113&legislationNumbers=&restrictionType=includeBillText&restrictionFields%5B0%5D=allBillTitles&restrictionFields%5B1%5D=summary&summaryField=billSummary&enterTerms=&wordVariants=true&legislationTypes%5B0%5D=hr&public=true&private=true&chamber=all&actionTerms=&legislativeActionWordVariants=true&dateOfActionOperator=equal&dateOfActionStartDate=&dateOfActionEndDate=&dateOfActionIsOptions=yesterday&dateOfActionToggle=multi&legislativeAction=Any&sponsorState=One&member=&sponsorTypes%5B0%5D=sponsor&sponsorTypes%5B1%5D=sponsor&sponsorTypeBool=OR&committeeActivity%5B0%5D=0&committeeActivity%5B1%5D=3&committeeActivity%5B2%5D=11&committeeActivity%5B3%5D=12&committeeActivity%5B4%5D=4&committeeActivity%5B5%5D=2&committeeActivity%5B6%5D=5&committeeActivity%5B7%5D=9&satellite=%7B%22Actions%22%3A%7B%22operator%22%3A%22OR%22%2C%22actions%22%3A%7B%2214%22%3A%22House+committee%5C%2Fsubcommittee+markups%22%2C%2234%22%3A%22House+amendment+actions%22%2C%2235%22%3A%22House+amendment+offered%5C%2Freported+by%22%7D%7D%2C%22Subject+-+Policy+Area%22%3A%7B%22policyAreas%22%3A%5B%5D%7D%2C%22Legislative+Subject+Terms%22%3A%7B%22operator%22%3A%22OR%22%2C%22subjects%22%3A%5B%22Military+assistance%2C+sales%2C+and+agreements%22%2C%22Military+civil+functions%22%2C%22Military+command+and+structure%22%2C%22Military+education+and+training%22%2C%22Military+facilities+and+property%22%2C%22Military+law%22%2C%22Military+medicine%22%2C%22Military+operations+and+strategy%22%2C%22Military+personnel+and+dependents%22%2C%22Military+procurement%2C+research%2C+weapons+development%22%2C%22Military+readiness%22%5D%7D%7D&search=&submitted=Submitted&searchResultViewType=expanded&KWICView=false,,,,,,,,,,,,
,,,,,,,,,,,,,
Legislation Number,URL,Congress,Amends Bill,Title,Sponsor,Date of Introduction,Date Offered,Date Submitted,Date Proposed,Number of Cosponsors,Committees,Latest Action Date,Latest Action
H.R. 2873,https://www.congress.gov/bill/115th-congress/house-bill/2873,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 207 Glenside Avenue in Wyncote, Pennsylvania, as the ""Staff Sergeant Peter Taub Post Office Building"".","Rep. Boyle, Brendan F. [D-PA-13]",06/12/2017,,,,17,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,03/23/2018,Became Public Law No: 115-147.
H.R. 2825,https://www.congress.gov/bill/115th-congress/house-bill/2825,115th Congress (2017-2018),,DHS Authorization Act,"Rep. McCaul, Michael T. [R-TX-10]",06/08/2017,,,,11,House - Homeland Security | Senate - Homeland Security and Governmental Affairs,11/13/2018,By Senator Johnson from Committee on Homeland Security and Governmental Affairs filed written report. Report No. 115-351.
H.R. 2815,https://www.congress.gov/bill/115th-congress/house-bill/2815,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 30 East Somerset Street in Raritan, New Jersey, as the ""Gunnery Sergeant John Basilone Post Office"".","Rep. Lance, Leonard [R-NJ-7]",06/07/2017,,,,11,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,03/23/2018,Became Public Law No: 115-146.
H.R. 2810,https://www.congress.gov/bill/115th-congress/house-bill/2810,115th Congress (2017-2018),,National Defense Authorization Act for Fiscal Year 2018,"Rep. Thornberry, Mac [R-TX-13]",06/07/2017,,,,1,House - Armed Services,12/12/2017,Became Public Law No: 115-91.
H.R. 2712,https://www.congress.gov/bill/115th-congress/house-bill/2712,115th Congress (2017-2018),,Palestinian International Terrorism Support Prevention Act of 2017,"Rep. Mast, Brian J. [R-FL-18]",05/25/2017,,,,31,"House - Foreign Affairs, Financial Services",11/15/2017,Ordered to be Reported (Amended) by Voice Vote.
H.R. 2673,https://www.congress.gov/bill/115th-congress/house-bill/2673,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 514 Broadway Street in Pekin, Illinois, as the ""Lance Corporal Jordan S. Bastean Post Office"".","Rep. Bustos, Cheri [D-IL-17]",05/25/2017,,,,17,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,07/24/2018,Became Public Law No: 115-208.
H.R. 2672,https://www.congress.gov/bill/115th-congress/house-bill/2672,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 520 Carter Street in Fairview, Illinois, as the ""Sgt. Douglas J. Riney Post Office"".","Rep. Bustos, Cheri [D-IL-17]",05/25/2017,,,,17,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,03/23/2018,Became Public Law No: 115-145.
H.R. 2646,https://www.congress.gov/bill/115th-congress/house-bill/2646,115th Congress (2017-2018),,United States-Jordan Defense Cooperation Extension Act,"Rep. Ros-Lehtinen, Ileana [R-FL-27]",05/24/2017,,,,12,House - Foreign Affairs | Senate - Foreign Relations,11/29/2018,Placed on Senate Legislative Calendar under General Orders. Calendar No. 703.
H.R. 2518,https://www.congress.gov/bill/115th-congress/house-bill/2518,115th Congress (2017-2018),,Coast Guard Authorization Act of 2017,"Rep. Hunter, Duncan D. [R-CA-50]",05/18/2017,,,,3,House - Transportation and Infrastructure,06/26/2017,"Placed on the Union Calendar, Calendar No. 133."
H.R. 2484,https://www.congress.gov/bill/115th-congress/house-bill/2484,115th Congress (2017-2018),,"Women, Peace, and Security Act of 2017","Rep. Noem, Kristi L. [R-SD-At Large]",05/17/2017,,,,16,"House - Foreign Affairs, Armed Services",06/21/2017,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 152.
H.R. 2409,https://www.congress.gov/bill/115th-congress/house-bill/2409,115th Congress (2017-2018),,"To allow servicemembers to terminate their cable, satellite television, and Internet access service contracts while deployed.","Rep. Costello, Ryan A. [R-PA-6]",05/11/2017,,,,5,House - Veterans' Affairs | Senate - Veterans' Affairs,07/25/2018,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.
H.R. 2258,https://www.congress.gov/bill/115th-congress/house-bill/2258,115th Congress (2017-2018),,ADVANCE Act,"Rep. Aguilar, Pete [D-CA-31]",05/01/2017,,,,12,"House - Transportation and Infrastructure | Senate - Commerce, Science, and Transportation",06/27/2017,"Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation."
H.R. 2213,https://www.congress.gov/bill/115th-congress/house-bill/2213,115th Congress (2017-2018),,Anti-Border Corruption Reauthorization Act of 2017,"Rep. McSally, Martha [R-AZ-2]",04/27/2017,,,,9,House - Homeland Security | Senate - Homeland Security and Governmental Affairs,06/08/2017,Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.
H.R. 2200,https://www.congress.gov/bill/115th-congress/house-bill/2200,115th Congress (2017-2018),,Frederick Douglass Trafficking Victims Prevention and Protection Reauthorization Act of 2018,"Rep. Smith, Christopher H. [R-NJ-4]",04/27/2017,,,,29,"House - Foreign Affairs, Judiciary, Oversight and Government Reform, Ways and Means, Transportation and Infrastructure, Energy and Commerce, Armed Services, Education and the Workforce | Senate - Foreign Relations",01/08/2019,Became Public Law No: 115-425.
H.R. 2061,https://www.congress.gov/bill/115th-congress/house-bill/2061,115th Congress (2017-2018),,North Korean Human Rights Reauthorization Act of 2017,"Rep. Ros-Lehtinen, Ileana [R-FL-27]",04/06/2017,,,,16,House - Foreign Affairs | Senate - Foreign Relations,07/20/2018,Became Public Law No: 115-198.
H.R. 1892,https://www.congress.gov/bill/115th-congress/house-bill/1892,115th Congress (2017-2018),,Bipartisan Budget Act of 2018,"Rep. Larson, John B. [D-CT-1]",04/04/2017,,,,16,House - Judiciary | Senate - Judiciary,02/09/2018,Became Public Law No: 115-123.
H.R. 1858,https://www.congress.gov/bill/115th-congress/house-bill/1858,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 4514 Williamson Trail in Liberty, Pennsylvania, as the ""Staff Sergeant Ryan Scott Ostrom Post Office"".","Rep. Marino, Tom [R-PA-10]",04/03/2017,,,,17,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,03/20/2018,Became Public Law No: 115-139.
H.R. 1842,https://www.congress.gov/bill/115th-congress/house-bill/1842,115th Congress (2017-2018),,Strengthening Children's Safety Act of 2017,"Rep. Ratcliffe, John [R-TX-4]",03/30/2017,,,,1,House - Judiciary | Senate - Judiciary,05/23/2017,Received in the Senate and Read twice and referred to the Committee on the Judiciary.
H.R. 1769,https://www.congress.gov/bill/115th-congress/house-bill/1769,115th Congress (2017-2018),,San Luis Unit Drainage Resolution Act,"Rep. Valadao, David G. [R-CA-21]",03/28/2017,,,,0,House - Natural Resources,10/16/2017,"Placed on the Union Calendar, Calendar No. 253."
H.R. 1726,https://www.congress.gov/bill/115th-congress/house-bill/1726,115th Congress (2017-2018),,Coast Guard Improvement and Reform Act of 2017,"Rep. Hunter, Duncan D. [R-CA-50]",03/27/2017,,,,1,"House - Transportation and Infrastructure | Senate - Commerce, Science, and Transportation",06/27/2017,"Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation."
H.R. 1698,https://www.congress.gov/bill/115th-congress/house-bill/1698,115th Congress (2017-2018),,Iran Ballistic Missiles and International Sanctions Enforcement Act,"Rep. Royce, Edward R. [R-CA-39]",03/23/2017,,,,323,"House - Foreign Affairs, Financial Services, Judiciary, Ways and Means, Oversight and Government Reform | Senate - Foreign Relations",10/30/2017,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 1677,https://www.congress.gov/bill/115th-congress/house-bill/1677,115th Congress (2017-2018),,Caesar Syria Civilian Protection Act of 2018,"Rep. Engel, Eliot L. [D-NY-16]",03/22/2017,,,,108,"House - Foreign Affairs, Financial Services, Judiciary | Senate - Foreign Relations",10/03/2018,Placed on Senate Legislative Calendar under General Orders. Calendar No. 620.
H.R. 1644,https://www.congress.gov/bill/115th-congress/house-bill/1644,115th Congress (2017-2018),,Korean Interdiction and Modernization of Sanctions Act,"Rep. Royce, Edward R. [R-CA-39]",03/21/2017,,,,23,"House - Foreign Affairs, Ways and Means, Financial Services, Transportation and Infrastructure, Oversight and Government Reform, Judiciary | Senate - Foreign Relations",05/04/2017,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 1625,https://www.congress.gov/bill/115th-congress/house-bill/1625,115th Congress (2017-2018),,"Consolidated Appropriations Act, 2018","Rep. Royce, Edward R. [R-CA-39]",03/20/2017,,,,40,House - Foreign Affairs | Senate - Foreign Relations,03/23/2018,Became Public Law No: 115-141.
H.R. 1339,https://www.congress.gov/bill/115th-congress/house-bill/1339,115th Congress (2017-2018),,Freedom from Government Competition Act of 2017,"Rep. Duncan, John J., Jr. [R-TN-2]",03/02/2017,,,,19,House - Oversight and Government Reform,03/15/2018,Committee Consideration and Mark-up Session Held.
H.R. 1164,https://www.congress.gov/bill/115th-congress/house-bill/1164,115th Congress (2017-2018),,Taylor Force Act,"Rep. Lamborn, Doug [R-CO-5]",02/16/2017,,,,169,House - Foreign Affairs,12/07/2017,Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 278.
H.R. 918,https://www.congress.gov/bill/115th-congress/house-bill/918,115th Congress (2017-2018),,Veteran Urgent Access to Mental Healthcare Act,"Rep. Coffman, Mike [R-CO-6]",02/07/2017,,,,40,House - Veterans' Affairs | Senate - Veterans' Affairs,11/08/2017,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.
H.R. 880,https://www.congress.gov/bill/115th-congress/house-bill/880,115th Congress (2017-2018),,MISSION ZERO Act,"Rep. Burgess, Michael C. [R-TX-26]",02/06/2017,,,,25,"House - Energy and Commerce | Senate - Health, Education, Labor, and Pensions",02/27/2018,"Received in the Senate and Read twice and referred to the Committee on Health, Education, Labor, and Pensions."
H.R. 873,https://www.congress.gov/bill/115th-congress/house-bill/873,115th Congress (2017-2018),,Global War on Terrorism War Memorial Act,"Rep. Gallagher, Mike [R-WI-8]",02/06/2017,,,,159,House - Natural Resources,08/18/2017,Became Public Law No: 115-51.
H.R. 695,https://www.congress.gov/bill/115th-congress/house-bill/695,115th Congress (2017-2018),,"Department of Defense Appropriations Act, 2018","Rep. Schiff, Adam B. [D-CA-28]",01/24/2017,,,,46,House - Judiciary | Senate - Judiciary,01/02/2019,Considered by Senate (Message from the House considered). (consideration: CR S8051)
H.R. 506,https://www.congress.gov/bill/115th-congress/house-bill/506,115th Congress (2017-2018),,Preventing Crimes Against Veterans Act of 2017,"Rep. Rooney, Thomas J. [R-FL-17]",01/12/2017,,,,26,House - Judiciary | Senate - Judiciary,03/15/2018,Received in the Senate and Read twice and referred to the Committee on the Judiciary.
H.R. 479,https://www.congress.gov/bill/115th-congress/house-bill/479,115th Congress (2017-2018),,North Korea State Sponsor of Terrorism Designation Act of 2017,"Rep. Poe, Ted [R-TX-2]",01/12/2017,,,,6,House - Foreign Affairs | Senate - Foreign Relations,04/04/2017,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 452,https://www.congress.gov/bill/115th-congress/house-bill/452,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 324 West Saint Louis Street in Pacific, Missouri, as the ""Specialist Jeffrey L. White, Jr. Post Office"".","Rep. Luetkemeyer, Blaine [R-MO-3]",01/11/2017,,,,8,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,03/16/2018,Became Public Law No: 115-134.
H.R. 393,https://www.congress.gov/bill/115th-congress/house-bill/393,115th Congress (2017-2018),,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.,"Rep. Thornberry, Mac [R-TX-13]",01/10/2017,,,,0,House - Armed Services,02/16/2017,"Placed on the Union Calendar, Calendar No. 1."
H.R. 282,https://www.congress.gov/bill/115th-congress/house-bill/282,115th Congress (2017-2018),,Military Residency Choice Act,"Rep. Stefanik, Elise M. [R-NY-21]",01/04/2017,,,,11,House - Veterans' Affairs | Senate - Veterans' Affairs,07/25/2017,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.
H.R. 195,https://www.congress.gov/bill/115th-congress/house-bill/195,115th Congress (2017-2018),,"Making further continuing appropriations for the fiscal year ending September 30, 2018, and for other purposes.","Rep. Russell, Steve [R-OK-5]",01/03/2017,,,,0,"House - Oversight and Government Reform, House Administration | Senate - Homeland Security and Governmental Affairs",01/22/2018,Became Public Law No: 115-120.
H.R. 1,https://www.congress.gov/bill/115th-congress/house-bill/1,115th Congress (2017-2018),,An Act to provide for reconciliation pursuant to titles II and V of the concurrent resolution on the budget for fiscal year 2018.,"Rep. Brady, Kevin [R-TX-8]",11/02/2017,,,,24,House - Ways and Means,12/22/2017,Became Public Law No: 115-97.
H.R. 6138,https://www.congress.gov/bill/114th-congress/house-bill/6138,114th Congress (2015-2016),,"To designate the facility of the United States Postal Service located at 560 East Pleasant Valley Road, Port Hueneme, California, as the U.S. Naval Construction Battalion ""Seabees"" Fallen Heroes Post Office Building.","Rep. Brownley, Julia [D-CA-26]",09/22/2016,,,,52,House - Oversight and Government Reform,12/16/2016,Became Public Law No: 114-309.
H.R. 5920,https://www.congress.gov/bill/114th-congress/house-bill/5920,114th Congress (2015-2016),,Whistleblower Protections for Contractors Act,"Rep. Cummings, Elijah E. [D-MD-7]",07/21/2016,,,,5,"House - Oversight and Government Reform, Armed Services",11/29/2016,"Placed on the Union Calendar, Calendar No. 657."
H.R. 5889,https://www.congress.gov/bill/114th-congress/house-bill/5889,114th Congress (2015-2016),,"To designate the facility of the United States Postal Service located at 1 Chalan Kanoa VLG in Saipan, Northern Mariana Islands, as the ""Segundo T. Sablan and CNMI Fallen Military Heroes Post Office Building"".","Rep. Sablan, Gregorio Kilili Camacho [D-MP-At Large]",07/14/2016,,,,0,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/16/2016,Became Public Law No: 114-305.
H.R. 5732,https://www.congress.gov/bill/114th-congress/house-bill/5732,114th Congress (2015-2016),,Caesar Syria Civilian Protection Act of 2016,"Rep. Engel, Eliot L. [D-NY-16]",07/12/2016,,,,89,"House - Foreign Affairs, Judiciary, Financial Services | Senate - Foreign Relations",11/16/2016,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 5484,https://www.congress.gov/bill/114th-congress/house-bill/5484,114th Congress (2015-2016),,State Sponsors of Terrorism Review Enhancement Act,"Rep. Yoho, Ted S. [R-FL-3]",06/15/2016,,,,9,House - Foreign Affairs | Senate - Foreign Relations,09/13/2016,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 5458,https://www.congress.gov/bill/114th-congress/house-bill/5458,114th Congress (2015-2016),,Veterans TRICARE Choice Act of 2016,"Rep. Stewart, Chris [R-UT-2]",06/13/2016,,,,4,"House - Ways and Means, Armed Services",11/30/2016,Received in the Senate.
H.R. 5428,https://www.congress.gov/bill/114th-congress/house-bill/5428,114th Congress (2015-2016),,Military Residency Choice Act,"Rep. Forbes, J. Randy [R-VA-4]",06/09/2016,,,,8,House - Veterans' Affairs,11/14/2016,"Placed on the Union Calendar, Calendar No. 640."
H.R. 5309,https://www.congress.gov/bill/114th-congress/house-bill/5309,114th Congress (2015-2016),,"To designate the facility of the United States Postal Service located at 401 McElroy Drive in Oxford, Mississippi, as the ""Army First Lieutenant Donald C. Carwile Post Office Building"".","Rep. Kelly, Trent [R-MS-1]",05/23/2016,,,,3,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/16/2016,Became Public Law No: 114-296.
H.R. 5208,https://www.congress.gov/bill/114th-congress/house-bill/5208,114th Congress (2015-2016),,North Korea State Sponsor of Terrorism Designation Act of 2016,"Rep. Poe, Ted [R-TX-2]",05/12/2016,,,,6,House - Foreign Affairs,06/16/2016,Ordered to be Reported in the Nature of a Substitute (Amended) by Unanimous Consent.
H.R. 5094,https://www.congress.gov/bill/114th-congress/house-bill/5094,114th Congress (2015-2016),,STAND for Ukraine Act,"Rep. Engel, Eliot L. [D-NY-16]",04/28/2016,,,,37,"House - Foreign Affairs, Financial Services, Judiciary, Ways and Means | Senate - Foreign Relations",09/22/2016,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 5077,https://www.congress.gov/bill/114th-congress/house-bill/5077,114th Congress (2015-2016),,Intelligence Authorization Act for Fiscal Year 2017,"Rep. Nunes, Devin [R-CA-22]",04/27/2016,,,,1,House - Intelligence (Permanent) | Senate - Intelligence,05/25/2016,Received in the Senate and Read twice and referred to the Select Committee on Intelligence.
H.R. 4987,https://www.congress.gov/bill/114th-congress/house-bill/4987,114th Congress (2015-2016),,"To designate the facility of the United States Postal Service located at 3957 2nd Avenue in Laurel Hill, Florida, as the ""Sergeant First Class William 'Kelly' Lacey Post Office"".","Rep. Miller, Jeff [R-FL-1]",04/18/2016,,,,26,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,07/29/2016,Became Public Law No: 114-213.
H.R. 4975,https://www.congress.gov/bill/114th-congress/house-bill/4975,114th Congress (2015-2016),,"To designate the facility of the United States Postal Service located at 5720 South 142nd Street in Omaha, Nebraska, as the ""Petty Officer 1st Class Caleb A. Nelson Post Office Building"".","Rep. Ashford, Brad [D-NE-2]",04/18/2016,,,,2,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,07/29/2016,Became Public Law No: 114-212.
H.R. 4909,https://www.congress.gov/bill/114th-congress/house-bill/4909,114th Congress (2015-2016),,National Defense Authorization Act for Fiscal Year 2017,"Rep. Thornberry, Mac [R-TX-13]",04/12/2016,,,,1,House - Armed Services,05/26/2016,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 502.
H.R. 4877,https://www.congress.gov/bill/114th-congress/house-bill/4877,114th Congress (2015-2016),,"To designate the facility of the United States Postal Service located at 3130 Grants Lake Boulevard in Sugar Land, Texas, as the ""LCpl Garrett W. Gamble, USMC Post Office Building"".","Rep. Olson, Pete [R-TX-22]",03/23/2016,,,,35,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,07/29/2016,Became Public Law No: 114-209.
H.R. 4783,https://www.congress.gov/bill/114th-congress/house-bill/4783,114th Congress (2015-2016),,Commercializing on Small Business Innovation Act of 2016,"Rep. Chabot, Steve [R-OH-1]",03/17/2016,,,,1,"House - Small Business, Science, Space, and Technology",12/16/2016,"Placed on the Union Calendar, Calendar No. 687."
H.R. 4678,https://www.congress.gov/bill/114th-congress/house-bill/4678,114th Congress (2015-2016),,United States Naval Station Guantanamo Bay Preservation Act,"Rep. Royce, Edward R. [R-CA-39]",03/03/2016,,,,10,House - Foreign Affairs,04/15/2016,"Placed on the Union Calendar, Calendar No. 378."
H.R. 4676,https://www.congress.gov/bill/114th-congress/house-bill/4676,114th Congress (2015-2016),,Preventing Crimes Against Veterans Act of 2016,"Rep. Rooney, Thomas J. [R-FL-17]",03/02/2016,,,,2,House - Judiciary | Senate - Judiciary,04/13/2016,Received in the Senate and Read twice and referred to the Committee on the Judiciary.
H.R. 4605,https://www.congress.gov/bill/114th-congress/house-bill/4605,114th Congress (2015-2016),,"To designate the facility of the United States Postal Service located at 615 6th Avenue SE in Cedar Rapids, Iowa as the ""Sgt. 1st Class Terryl L. Pasker Post Office Building"".","Rep. Blum, Rod [R-IA-1]",02/24/2016,,,,3,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,06/13/2016,Became Public Law No: 114-177.
H.R. 4579,https://www.congress.gov/bill/114th-congress/house-bill/4579,114th Congress (2015-2016),,Utah Test and Training Range Encroachment Prevention and Temporary Closure Act,"Rep. Stewart, Chris [R-UT-2]",02/12/2016,,,,3,"House - Natural Resources, Armed Services",12/08/2016,"Placed on the Union Calendar, Calendar No. 670."
H.R. 4511,https://www.congress.gov/bill/114th-congress/house-bill/4511,114th Congress (2015-2016),,Gold Star Families Voices Act,"Rep. Smith, Christopher H. [R-NJ-4]",02/09/2016,,,,7,House - House Administration | Senate - Rules and Administration,11/28/2016,Became Public Law No: 114-246.
H.R. 4366,https://www.congress.gov/bill/114th-congress/house-bill/4366,114th Congress (2015-2016),,San Luis Unit Drainage Resolution Act,"Rep. Valadao, David G. [R-CA-21]",01/12/2016,,,,0,House - Natural Resources,11/16/2016,Ordered to be Reported (Amended) by the Yeas and Nays: 27 - 12.
H.R. 4341,https://www.congress.gov/bill/114th-congress/house-bill/4341,114th Congress (2015-2016),,Defending America's Small Contractors Act of 2016,"Rep. Chabot, Steve [R-OH-1]",01/07/2016,,,,1,"House - Small Business, Armed Services, Oversight and Government Reform, Veterans' Affairs",07/25/2016,"Placed on the Union Calendar, Calendar No. 545."
H.R. 4154,https://www.congress.gov/bill/114th-congress/house-bill/4154,114th Congress (2015-2016),,Taiwan Naval Support Act,"Rep. Sherman, Brad [D-CA-30]",12/02/2015,,,,4,House - Foreign Affairs,12/09/2015,Ordered to be Reported by Unanimous Consent.
H.R. 4063,https://www.congress.gov/bill/114th-congress/house-bill/4063,114th Congress (2015-2016),,Jason Simcakoski PROMISE Act,"Rep. Bilirakis, Gus M. [R-FL-12]",11/18/2015,,,,35,"House - Veterans' Affairs, Armed Services | Senate - Veterans' Affairs",05/11/2016,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.
H.R. 4046,https://www.congress.gov/bill/114th-congress/house-bill/4046,114th Congress (2015-2016),,"To designate the facility of the United States Postal Service located at 220 East Oak Street, Glenwood City, Wisconsin, as the Second Lt. Ellen Ainsworth Memorial Post Office.","Rep. Duffy, Sean P. [R-WI-7]",11/17/2015,,,,7,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,06/13/2016,Became Public Law No: 114-176.
H.R. 3953,https://www.congress.gov/bill/114th-congress/house-bill/3953,114th Congress (2015-2016),,"To designate the facility of the United States Postal Service located at 4122 Madison Street, Elfers, Florida, as the ""Private First Class Felton Roger Fussell Memorial Post Office"".","Rep. Bilirakis, Gus M. [R-FL-12]",11/05/2015,,,,26,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,07/29/2016,Became Public Law No: 114-203.
H.R. 3931,https://www.congress.gov/bill/114th-congress/house-bill/3931,114th Congress (2015-2016),,"To designate the facility of the United States Postal Service located at 620 Central Avenue Suite 1A in Hot Springs National Park, Arkansas, as the ""Chief Petty Officer Adam Brown United States Post Office"".","Rep. Westerman, Bruce [R-AR-4]",11/04/2015,,,,6,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,07/29/2016,Became Public Law No: 114-202.
H.R. 3866,https://www.congress.gov/bill/114th-congress/house-bill/3866,114th Congress (2015-2016),,"To designate the facility of the United States Postal Service located at 1265 Hurffville Road in Deptford Township, New Jersey, as the ""First Lieutenant Salvatore S. Corma II Post Office Building"".","Rep. Norcross, Donald [D-NJ-1]",10/29/2015,,,,11,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,06/13/2016,Became Public Law No: 114-175.
H.R. 3833,https://www.congress.gov/bill/114th-congress/house-bill/3833,114th Congress (2015-2016),,To require a regional strategy to address the threat posed by Boko Haram.,"Rep. Wilson, Frederica S. [D-FL-24]",10/26/2015,,,,45,"House - Foreign Affairs, Intelligence (Permanent)",09/22/2016,Forwarded by Subcommittee to Full Committee by Voice Vote .
H.R. 3449,https://www.congress.gov/bill/114th-congress/house-bill/3449,114th Congress (2015-2016),,"To amend the Immigration and Nationality Act to extend honorary citizenship to otherwise qualified noncitizens who enlisted in the Philippines and died while serving on active duty with the United States Armed Forces during certain periods of hostilities, and for other purposes.","Rep. Jones, Walter B., Jr. [R-NC-3]",09/08/2015,,,,0,House - Judiciary,09/17/2015,Ordered to be Reported by Voice Vote.
H.R. 3218,https://www.congress.gov/bill/114th-congress/house-bill/3218,114th Congress (2015-2016),,"Designate the facility of the United States Postal Service located at 1221 State Street, Suite 12, Santa Barbara, California, as the ""Special Warfare Operator Master Chief Petty Officer (SEAL) Louis 'Lou' J. Langlais Post Office Building"".","Rep. Capps, Lois [D-CA-24]",07/27/2015,,,,50,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/16/2016,Became Public Law No: 114-283.
H.R. 3114,https://www.congress.gov/bill/114th-congress/house-bill/3114,114th Congress (2015-2016),,"To provide funds to the Army Corps of Engineers to hire veterans and members of the Armed Forces to assist the Corps with curation and historic preservation activities, and for other purposes.","Rep. Napolitano, Grace F. [D-CA-32]",07/20/2015,,,,6,House - Transportation and Infrastructure | Senate - Environment and Public Works,07/06/2016,Became Public Law No: 114-189.
H.R. 2915,https://www.congress.gov/bill/114th-congress/house-bill/2915,114th Congress (2015-2016),,Female Veteran Suicide Prevention Act,"Rep. Brownley, Julia [D-CA-26]",06/25/2015,,,,21,House - Veterans' Affairs | Senate - Veterans' Affairs,02/10/2016,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.
H.R. 2494,https://www.congress.gov/bill/114th-congress/house-bill/2494,114th Congress (2015-2016),,"Eliminate, Neutralize, and Disrupt Wildlife Trafficking Act of 2016","Rep. Royce, Edward R. [R-CA-39]",05/21/2015,,,,113,"House - Foreign Affairs, Judiciary, Natural Resources | Senate - Foreign Relations",10/07/2016,Became Public Law No: 114-231.
H.R. 2320,https://www.congress.gov/bill/114th-congress/house-bill/2320,114th Congress (2015-2016),,Federal Improper Payments Coordination Act of 2015,"Rep. Mulvaney, Mick [R-SC-5]",05/14/2015,,,,10,House - Oversight and Government Reform,10/20/2015,"Placed on the Union Calendar, Calendar No. 228."
